	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
159195	299.25	813.63	343.89	242.88	647.07	693.58	486.75	251.48	466.88	660.68	205.5	638.15	497	289.02	220.32	460.44	412
159296	0	0	0	0	38.4	0	0.4	0	0	0	36.01	0	0	0	0	0.39	0.37
159371	69.52	78.89	47.17	43.63	44.89	58.3	102.97	74.58	83.45	50.63	43.02	55.89	22.1	79.45	67.12	67.12	89.51
159686	8.25	12.74	10.88	2.05	2.58	3.69	1.22	13.72	10.71	4.13	4.24	15.56	4.9	5.5	13.52	4.7	3.32
159963	1.77	0	1.64	11.82	72.01	9.34	24.81	1.2	0.88	0.43	4.94	0.89	3.5	7.63	0	21.01	4.78
159989	0	0	0.41	0	0.38	0.67	0	0	0	0	1.41	0	0	2.18	0	1.17	1.83
160065	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08	0	0	0
160140	10.08	3.53	7.34	28.86	7.34	21.94	2.81	14.56	9.06	15.91	14.45	6.11	40.36	17.77	1.77	26.47	17.51
160287	0.88	1.77	0.41	11.64	0	0.68	0	1.58	0	0.42	0	0	0	0.74	0.89	0	0.38
160298	0	0	0	0.68	0	0	0	0	0	0	0	0	0	1.81	2.61	0	1.1
160335	283.05	332.14	336.79	289.02	229.72	164.42	171.45	251.48	183.82	191.67	164.42	438.59	341.51	314.17	236.21	329.84	412
160364	9.34	19.53	4.98	19.82	733.19	18.56	37.32	19.11	16.15	10.39	50.63	4.9	16.51	38.67	0.93	17.77	36.27
160365	21.01	15.8	27.84	18.56	53.57	8.06	37.85	46.5	9.56	76.71	121.79	6.57	13.62	27.64	0	31.9	5.19
160418	215.77	152.28	164.42	120.1	150.17	131.51	234.57	131.51	162.14	107.38	122.64	146.03	111.21	275.28	138.1	163.28	289.02
160419	0.44	0.88	0.41	0.35	1.46	1.33	0	1.19	0	0.83	1.06	0	0	1.83	0	0.79	1.1
160428	144.01	76.17	109.66	6.89	10.79	18.84	10.47	48.87	97.36	10	32.59	75.11	7.46	93.35	118.43	15.91	59.13
160492	16.88	1.33	0	0.68	0	0	0	0	2.58	1.64	0	1.31	3.14	3.29	0	2.34	4.03
160518	120.1	151.22	105.15	19.11	38.95	22.92	19.25	115.16	139.07	25.72	50.27	132.44	37.05	95.34	138.1	51.35	52.08
160622	187.71	406.31	1037.29	414.87	507.46	384.34	140.04	764.36	327.56	775.05	1030.12	660.68	620.67	624.99	186.4	947.83	307.69
160728	0.44	0	1.62	0	0	0	0	2.76	0	0	0	0	1.04	1.83	0	9.7	0.37
160760	248	351.14	271.48	186.4	150.17	211.31	241.19	246.28	363.56	363.56	273.37	607.87	444.72	246.28	255	295.11	228.13
160762	0	0	0	0	0	0	0	0	0	0	0	0.43	0.35	0	0	0	0
160777	211.31	163.28	102.97	262.2	8.71	305.55	343.89	123.5	84.63	77.25	43.02	320.8	57.08	78.34	71	135.24	205.5
160851	53.57	80.57	84.04	121.79	112.77	57.08	43.32	56.28	69.52	52.82	85.82	96.01	265.87	69.03	53.57	157.68	208.38
160857	41.22	115.97	96.68	116.78	96.01	96.01	50.27	94.01	67.12	37.32	46.84	56.68	66.65	91.41	85.22	105.89	158.79
160897	55.1	55.1	40.64	28.86	116.78	30.78	38.12	39.79	54.33	17.38	30.34	40.36	16.15	69.03	50.98	42.71	57.08
161003	0	0.88	0	1.35	1.1	0.67	0	0	0	0.41	0	0	1.38	1.81	0	0.39	0
161142	1.33	0	0	1.03	1.48	0	0.8	1.99	0.88	1.25	0.37	0.88	0	2.92	0.89	0	3.66
161145	93.35	69.03	62.12	356.05	255	307.69	87.03	105.15	54.33	118.43	99.43	39.5	96.01	170.25	54.72	166.73	309.83
